date,routine,category,exercise,sets,reps,volume,one_rep_max
2014-06-07,,Back,Lat Pulldown,3,30,4500.0,200
2014-06-07,,Back,Pull Up,3,14,14.0,1
2014-06-07,,Back,Seated Back Extension,3,30,3600.0,160
2014-06-08,,Chest,Flat Dumbbell Bench Press,3,30,1650.0,73
2014-06-10,,Legs,Leg Press,3,30,6750.0,300
2014-06-10,,Legs,Seated Leg Curl Machine,3,30,6150.0,280
2014-06-17,,Back,Dumbbell Hammer Curl,2,13,455.0,44
2014-06-17,,Chest,Flat Dumbbell Bench Press,3,28,1540.0,73
2014-06-19,,Back,Dumbbell Hammer Curl,2,11,415.0,48
2014-06-19,,Chest,Flat Dumbbell Bench Press,2,20,1200.0,80
2014-06-19,,Legs,Leg Press,3,30,7050.0,320
2014-06-19,,Back,Pull Up,3,15,15.0,1
2014-06-19,,Legs,Standing Calf Raise Machine,3,30,2100.0,93
2014-06-22,,Legs,Leg Press,3,30,7650.0,340
2014-06-22,,Back,Pull Up,4,25,25.0,1
2014-06-22,,Legs,Standing Calf Raise Machine,3,30,3750.0,180
2014-06-24,,Back,Dumbbell Hammer Curl,4,25,900.0,46
2014-06-24,,Chest,Flat Dumbbell Bench Press,3,25,1500.0,80
2014-06-24,,Back,Lat Pulldown,3,30,4500.0,200
2014-06-24,,Back,Pull Up,3,19,19.0,1
2014-07-01,,Back,Dumbbell Curl,1,10,350.0,46
2014-07-01,,Chest,Flat Dumbbell Bench Press,3,26,1560.0,80
2014-07-02,,Back,Lat Pulldown,3,30,4650.0,206
2014-07-02,,Back,Pull Up,3,13,13.0,1
2014-07-05,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-07-07,,Back,Dumbbell Hammer Curl,3,19,665.0,46
2014-07-07,,Chest,Flat Dumbbell Bench Press,3,30,1850.0,86
2014-07-09,,Back,Dumbbell Row,3,30,1800.0,80
2014-07-09,,Back,Pull Up,3,15,15.0,1
2014-07-09,,Back,Seated Cable Row,3,24,2880.0,152
2014-07-10,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-07-13,,Chest,Dumbbell Overhead Triceps Extension,2,20,1000.0,66
2014-07-13,,Chest,Dumbbell Tricep Kickbacks,1,10,300.0,40
2014-07-15,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-07-16,,Chest,Flat Dumbbell Bench Press,3,30,1950.0,86
2014-07-21,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-07-22,,Legs,Leg Press,3,30,7650.0,340
2014-07-22,,Back,Pull Up,4,25,25.0,1
2014-07-22,,Legs,Standing Calf Raise Machine,3,30,3750.0,180
2014-07-23,,Back,Lat Pulldown,3,30,4500.0,200
2014-07-23,,Back,T-Bar Row,3,30,3600.0,160
2014-07-27,,Shoulders,Dumbbell Shoulder Press,3,30,1350.0,60
2014-07-27,,Chest,Seated Machine Fly,5,25,3885.0,213
2014-07-27,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-07-28,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-07-30,,Back,Lat Pulldown,3,30,4500.0,200
2014-07-30,,Back,T-Bar Row,3,30,4050.0,180
2014-08-04,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-08-07,,Back,Pull Up,3,14,14.0,1
2014-08-08,,Chest,Seated Machine Fly,6,26,4260.0,220
2014-08-12,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-08-14,,Back,Dumbbell Row,3,30,1950.0,86
2014-08-14,,Back,Pull Up,3,17,17.0,1
2014-08-15,,Shoulders,Dumbbell Shoulder Press,5,34,1130.0,46
2014-08-17,,Chest,Flat Dumbbell Bench Press,15,196,14030.0,120
2014-08-18,,Back,Bent Over Row,15,194,17840.0,142
2014-09-03,,Chest,Flat Dumbbell Bench Press,15,196,14030.0,120
2014-09-06,,Back,Bent Over Row,15,194,17840.0,142
2014-10-17,,Back,Bent Over Row,7,90,8400.0,142
2014-10-17,,Back,Lat Pulldown,2,30,3450.0,172
2014-10-18,,Chest,Flat Barbell Bench Press,5,70,5300.0,120
2014-11-21,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-11-30,,Legs,Dumbbell Calf Raise,1,10,800.0,106
2014-11-30,,Back,Dumbbell Curl,5,30,850.0,40
2014-11-30,,Legs,Dumbbell Lunges,1,10,400.0,53
2014-11-30,,Chest,Flat Barbell Bench Press,3,15,2625.0,221
2014-11-30,,Chest,Flat Dumbbell Bench Press,3,30,1550.0,73
2014-12-18,,Chest,Flat Dumbbell Bench Press,15,141,6055.0,66
2014-12-19,,Legs,Dumbbell Calf Raise,3,30,3000.0,133
2014-12-19,,Legs,Dumbbell Lunges,1,10,400.0,53
2014-12-20,,Back,Dumbbell Curl,3,22,550.0,33
2014-12-20,,Back,Lat Pulldown,3,24,3090.0,171
2014-12-20,,Back,Pull Up,4,22,22.0,1
2014-12-22,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-12-26,,Chest,Flat Dumbbell Bench Press,15,124,6510.0,73
2014-12-26,,Back,Lat Pulldown,3,30,4050.0,180
2014-12-26,,Back,Pull Up,4,23,23.0,1
2014-12-27,,Legs,Dumbbell Lunges,3,30,1400.0,66
2014-12-27,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-12-29,,Legs,Dumbbell Lunges,3,30,1450.0,66
2014-12-29,,Abs,Undefined Ab Workout,1,1,1.0,1
2014-12-30,,Chest,Flat Barbell Bench Press,4,31,4760.0,202
2014-12-30,,Chest,Incline Barbell Bench Press,3,24,2340.0,143
2014-12-30,,Back,Pull Up,3,14,14.0,1
2014-12-30,,Legs,Seated Calf Raise Machine,3,30,1900.0,93
2014-12-31,,Back,Hammer Strength Row,3,30,1650.0,73
2014-12-31,,Back,Lat Pulldown,3,17,2520.0,200
2014-12-31,,Back,Pull Up,4,26,26.0,1
2015-01-02,,Abs,Undefined Ab Workout,1,1,1.0,1
2015-01-03,,Legs,Dumbbell Lunges,3,30,1550.0,73
2015-01-05,,Chest,Flat Dumbbell Bench Press,6,60,3450.0,80
2015-01-06,,Back,Deadlift,4,40,5200.0,180
2015-01-06,,Back,Lat Pulldown,3,30,4200.0,186
2015-01-06,,Back,Pull Up,3,20,20.0,1
2015-01-06,,Shoulders,Rear Delt Machine Fly,4,48,3900.0,119
2015-01-09,,Back,Deadlift,1,10,1300.0,173
2015-01-09,,Legs,Dumbbell Lunges,4,40,2150.0,73
2015-01-09,,Back,Dumbbell Row,3,30,1500.0,66
2015-01-09,,Abs,Undefined Ab Workout,1,1,1.0,1
2015-01-12,,Chest,Flat Dumbbell Bench Press,2,20,1000.0,66
2015-01-13,,Abs,Undefined Ab Workout,1,1,1.0,1
2015-02-15,,Back,Dumbbell Curl,5,30,870.0,40
