activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,distance,distanceUnit,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,pace,source,speed,startTime,steps,tcxLink
1440000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 24, 'name': 'very'}]",Walk,90013,109,233,https://api.fitbit.com/1/user/-/activities/calories/date/2016-07-31/2016-07-31/1min/time/14:01/14:25.json,,,1440000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-07-31/2016-07-31/1sec/time/14:01:29/14:25:29.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 24, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-08-01T04:58:38.000Z,3518074122,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1440000,2016-07-31,,,,2016-07-31T14:01:29.000-04:00,2392.0,https://api.fitbit.com/1/user/-/activities/3518074122.tcx
1494000,"[{'minutes': 3, 'name': 'sedentary'}, {'minutes': 21, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 0, 'name': 'very'}]",Outdoor Bike,1071,83,127,https://api.fitbit.com/1/user/-/activities/calories/date/2016-08-01/2016-08-01/1min/time/12:17/12:42.json,,,1494000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-08-01/2016-08-01/1sec/time/12:17:40/12:42:34.json,"[{'max': 99, 'min': 30, 'minutes': 22, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 2, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-08-01T17:00:03.000Z,3522980795,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1494000,2016-08-01,,,,2016-08-01T12:17:40.000-04:00,,https://api.fitbit.com/1/user/-/activities/3522980795.tcx
2006000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 23, 'name': 'very'}]",Outdoor Bike,1071,115,299,https://api.fitbit.com/1/user/-/activities/calories/date/2016-08-01/2016-08-01/1min/time/14:39/15:12.json,,,2006000,30.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-08-01/2016-08-01/1sec/time/14:39:18/15:12:44.json,"[{'max': 99, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 28, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-08-01T19:19:17.000Z,3524321408,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2006000,2016-08-01,,,,2016-08-01T14:39:18.000-04:00,,https://api.fitbit.com/1/user/-/activities/3524321408.tcx
2561000,"[{'minutes': 17, 'name': 'sedentary'}, {'minutes': 10, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Workout,3000,109,264,https://api.fitbit.com/1/user/-/activities/calories/date/2016-08-01/2016-08-01/1min/time/20:08/20:50.json,,,2561000,,https://api.fitbit.com/1/user/-/activities/heart/date/2016-08-01/2016-08-01/1sec/time/20:08:05/20:50:46.json,"[{'max': 99, 'min': 30, 'minutes': 15, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 26, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 1, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-08-02T00:51:41.000Z,3526131525,tracker,"{'calories': False, 'distance': False, 'steps': False}",2561000,2016-08-02,,"{'id': '64251798', 'name': 'Charge HR', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2016-08-01T20:08:05.000-04:00,187.0,https://api.fitbit.com/1/user/-/activities/3526131525.tcx
5393000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 12, 'name': 'lightly'}, {'minutes': 26, 'name': 'fairly'}, {'minutes': 51, 'name': 'very'}]",Workout,3000,116,778,https://api.fitbit.com/1/user/-/activities/calories/date/2016-08-02/2016-08-02/1min/time/19:25/20:55.json,,,5393000,,https://api.fitbit.com/1/user/-/activities/heart/date/2016-08-02/2016-08-02/1sec/time/19:25:27/20:55:20.json,"[{'max': 99, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 80, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 6, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-08-03T01:14:01.000Z,3539383154,tracker,"{'calories': False, 'distance': False, 'steps': False}",5393000,2016-08-02,,"{'id': '64251798', 'name': 'Charge HR', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2016-08-02T19:25:27.000-04:00,1324.0,https://api.fitbit.com/1/user/-/activities/3539383154.tcx
4065000,"[{'minutes': 4, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 30, 'name': 'fairly'}, {'minutes': 32, 'name': 'very'}]",Workout,3000,114,574,https://api.fitbit.com/1/user/-/activities/calories/date/2016-08-03/2016-08-03/1min/time/19:53/21:01.json,,,4065000,,https://api.fitbit.com/1/user/-/activities/heart/date/2016-08-03/2016-08-03/1sec/time/19:53:33/21:01:18.json,"[{'max': 99, 'min': 30, 'minutes': 5, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 59, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 4, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-08-04T01:18:12.000Z,3548439737,tracker,"{'calories': False, 'distance': False, 'steps': False}",4065000,2016-08-03,,"{'id': '64251798', 'name': 'Charge HR', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",,2016-08-03T19:53:33.000-04:00,2359.0,https://api.fitbit.com/1/user/-/activities/3548439737.tcx
2168000,"[{'minutes': 3, 'name': 'sedentary'}, {'minutes': 8, 'name': 'lightly'}, {'minutes': 23, 'name': 'fairly'}, {'minutes': 2, 'name': 'very'}]",Outdoor Bike,1071,102,223,https://api.fitbit.com/1/user/-/activities/calories/date/2016-08-04/2016-08-04/1min/time/13:55/14:31.json,,,2168000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-08-04/2016-08-04/1sec/time/13:55:34/14:31:42.json,"[{'max': 99, 'min': 30, 'minutes': 6, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 30, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-08-04T18:39:17.000Z,3559698768,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2168000,2016-08-04,,,,2016-08-04T13:55:34.000-04:00,,https://api.fitbit.com/1/user/-/activities/3559698768.tcx
1492000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 4, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",Outdoor Bike,1071,98,200,https://api.fitbit.com/1/user/-/activities/calories/date/2016-08-04/2016-08-04/1min/time/16:05/16:30.json,,,1492000,2.5,https://api.fitbit.com/1/user/-/activities/heart/date/2016-08-04/2016-08-04/1sec/time/16:05:23/16:30:15.json,"[{'max': 99, 'min': 30, 'minutes': 12, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-08-04T20:36:31.000Z,3563027243,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1492000,2016-08-04,,,,2016-08-04T16:05:23.000-04:00,,https://api.fitbit.com/1/user/-/activities/3563027243.tcx
2624000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 40, 'name': 'very'}]",Outdoor Bike,1071,127,484,https://api.fitbit.com/1/user/-/activities/calories/date/2016-08-05/2016-08-05/1min/time/15:58/16:42.json,,,2624000,270.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-08-05/2016-08-05/1sec/time/15:58:33/16:42:17.json,"[{'max': 99, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 34, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 10, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-08-06T17:02:38.000Z,3582189508,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",2624000,2016-08-05,,,,2016-08-05T15:58:33.000-04:00,,https://api.fitbit.com/1/user/-/activities/3582189508.tcx
926000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 5, 'name': 'very'}]",Outdoor Bike,1071,102,103,https://api.fitbit.com/1/user/-/activities/calories/date/2016-08-06/2016-08-06/1min/time/11:37/11:52.json,,,926000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2016-08-06/2016-08-06/1sec/time/11:37:32/11:52:58.json,"[{'max': 99, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 139, 'min': 99, 'minutes': 10, 'name': 'Fat Burn'}, {'max': 169, 'min': 139, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 169, 'minutes': 0, 'name': 'Peak'}]",2016-08-06T17:02:38.000Z,3582189510,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",926000,2016-08-06,,,,2016-08-06T11:37:32.000-04:00,,https://api.fitbit.com/1/user/-/activities/3582189510.tcx
