activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,startTime,steps,tcxLink
1860000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 25, 'name': 'very'}]",Workout,3000,132.0,326,https://api.fitbit.com/1/user/-/activities/calories/date/2017-12-04/2017-12-04/1min/time/9:04/9:35.json,1860000,30.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-12-04/2017-12-04/1sec/time/09:04:34/09:35:34.json,"[{'max': 99, 'min': 30, 'minutes': 1, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 19, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 11, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-12-05T15:30:09.000Z,11221325294,tracker,"{'calories': False, 'distance': False, 'steps': False}",1860000,2017-12-04,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2017-12-04T09:04:34.000-05:00,1705.0,https://api.fitbit.com/1/user/-/activities/11221325294.tcx
1024000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 8, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 6, 'name': 'very'}]",Walk,90013,102.0,129,https://api.fitbit.com/1/user/-/activities/calories/date/2017-12-04/2017-12-04/1min/time/18:06/18:23.json,1024000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-12-04/2017-12-04/1sec/time/18:06:48/18:23:52.json,"[{'max': 99, 'min': 30, 'minutes': 7, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 10, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-12-05T15:30:13.000Z,11225939283,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1024000,2017-12-04,,2017-12-04T18:06:48.000-05:00,1280.0,https://api.fitbit.com/1/user/-/activities/11225939283.tcx
2695000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 13, 'name': 'fairly'}, {'minutes': 26, 'name': 'very'}]",Workout,3000,123.0,399,https://api.fitbit.com/1/user/-/activities/calories/date/2017-12-05/2017-12-05/1min/time/8:49/9:34.json,2695000,66.000656,https://api.fitbit.com/1/user/-/activities/heart/date/2017-12-05/2017-12-05/1sec/time/08:49:05/09:34:00.json,"[{'max': 99, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 33, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 9, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-12-05T15:30:08.000Z,11221325293,tracker,"{'calories': False, 'distance': False, 'steps': False}",2695000,2017-12-05,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2017-12-05T08:49:05.000-05:00,1835.0,https://api.fitbit.com/1/user/-/activities/11221325293.tcx
1075000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",Walk,90013,92.0,122,https://api.fitbit.com/1/user/-/activities/calories/date/2017-12-05/2017-12-05/1min/time/18:17/18:35.json,1075000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-12-05/2017-12-05/1sec/time/18:17:30/18:35:25.json,"[{'max': 99, 'min': 30, 'minutes': 8, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 10, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-12-05T23:50:59.000Z,11235698620,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1075000,2017-12-05,,2017-12-05T18:17:30.000-05:00,1121.0,https://api.fitbit.com/1/user/-/activities/11235698620.tcx
1740000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 21, 'name': 'very'}]",Walk,90013,99.0,232,https://api.fitbit.com/1/user/-/activities/calories/date/2017-12-06/2017-12-06/1min/time/12:23/12:52.json,1740000,37.831365,https://api.fitbit.com/1/user/-/activities/heart/date/2017-12-06/2017-12-06/1sec/time/12:23:47/12:52:47.json,"[{'max': 99, 'min': 30, 'minutes': 15, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-12-06T17:59:13.000Z,11244903681,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1740000,2017-12-06,,2017-12-06T12:23:47.000-05:00,2678.0,https://api.fitbit.com/1/user/-/activities/11244903681.tcx
921000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",Walk,90013,91.0,118,https://api.fitbit.com/1/user/-/activities/calories/date/2017-12-06/2017-12-06/1min/time/18:03/18:18.json,921000,50.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-12-06/2017-12-06/1sec/time/18:03:25/18:18:46.json,"[{'max': 99, 'min': 30, 'minutes': 9, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 6, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-12-06T23:21:33.000Z,11252448795,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",921000,2017-12-06,,2017-12-06T18:03:25.000-05:00,1334.0,https://api.fitbit.com/1/user/-/activities/11252448795.tcx
1074000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",Walk,90013,103.0,131,https://api.fitbit.com/1/user/-/activities/calories/date/2017-12-07/2017-12-07/1min/time/18:05/18:23.json,1074000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-12-07/2017-12-07/1sec/time/18:05:34/18:23:28.json,"[{'max': 99, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-12-07T23:30:39.000Z,11269197029,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1074000,2017-12-07,,2017-12-07T18:05:34.000-05:00,1305.0,https://api.fitbit.com/1/user/-/activities/11269197029.tcx
1535000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 19, 'name': 'very'}]",Walk,90013,107.0,215,https://api.fitbit.com/1/user/-/activities/calories/date/2017-12-08/2017-12-08/1min/time/13:19/13:44.json,1535000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-12-08/2017-12-08/1sec/time/13:19:17/13:44:52.json,"[{'max': 99, 'min': 30, 'minutes': 6, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 19, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-12-08T18:56:55.000Z,11282422759,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1535000,2017-12-08,,2017-12-08T13:19:17.000-05:00,2446.0,https://api.fitbit.com/1/user/-/activities/11282422759.tcx
5925000,"[{'minutes': 22, 'name': 'sedentary'}, {'minutes': 33, 'name': 'lightly'}, {'minutes': 12, 'name': 'fairly'}, {'minutes': 31, 'name': 'very'}]",Workout,3000,112.0,662,https://api.fitbit.com/1/user/-/activities/calories/date/2017-12-08/2017-12-08/1min/time/18:43/20:21.json,5925000,131.000656,https://api.fitbit.com/1/user/-/activities/heart/date/2017-12-08/2017-12-08/1sec/time/18:43:05/20:21:50.json,"[{'max': 99, 'min': 30, 'minutes': 27, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 61, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 10, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-12-09T01:21:57.000Z,11270488861,tracker,"{'calories': False, 'distance': False, 'steps': False}",5925000,2017-12-08,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2017-12-08T18:43:05.000-05:00,3113.0,https://api.fitbit.com/1/user/-/activities/11270488861.tcx
1434000,"[{'minutes': 5, 'name': 'sedentary'}, {'minutes': 9, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 4, 'name': 'very'}]",Walk,90013,94.0,143,https://api.fitbit.com/1/user/-/activities/calories/date/2017-12-09/2017-12-09/1min/time/18:58/19:22.json,1434000,100.0,https://api.fitbit.com/1/user/-/activities/heart/date/2017-12-09/2017-12-09/1sec/time/18:58:29/19:22:23.json,"[{'max': 99, 'min': 30, 'minutes': 10, 'name': 'Out of Range'}, {'max': 138, 'min': 99, 'minutes': 14, 'name': 'Fat Burn'}, {'max': 168, 'min': 138, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 168, 'minutes': 0, 'name': 'Peak'}]",2017-12-10T00:26:37.000Z,11298608187,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1434000,2017-12-09,,2017-12-09T18:58:29.000-05:00,1399.0,https://api.fitbit.com/1/user/-/activities/11298608187.tcx
